Trek_Name,Trek_Duration,Trek_Amount,Trek_Level,Trek_URL
Ghepan Ghat Lake Trek,5 Days,Rs. 11700 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Ghepan-Ghat-Lake-Trek
Markha Valley Trek & Rafting in Zanskar,7 Days,Rs. 16800 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/markha-valley-trek-zanskar-rafting
Satopanth Lake Trek,8 Days,Rs. 18700 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/satopanth-lake-trek
Kudremukh Trek,3 Days,Rs. 3950 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Kudremukh-Trek
Kumara Parvatha Trek,3 Days,Rs. 3700 ,Easy,https://www.bikatadventures.com//Home/Itinerary/kumaraparvata-trek
Tadiandamol Trek,3 Days,Rs. 3700 ,Easy,https://www.bikatadventures.com//Home/Itinerary/tadiyandamol-trek
Dev Kyara Trek,7 Days,Rs. 13700 ,Easy,https://www.bikatadventures.com//Home/Itinerary/dev-kyara-trek
Everest Base Camp with Gokyo Ri and Gokyo Lakes,17 Days,Rs. 75000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Everest-Base-Camp-Gokyo-Ri-Trek
Kalihani Pass Trek,8 Days,Rs. 19400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kalihani-Pass-Trek
Baraadsar Lake Trek,8 Days,Rs. 16400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/baraadsar-lake-trek
Annapurna Base Camp Trek,9 Days,Rs. 29500 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Annapurna-Base-Camp-Trek
Auden's Col  Expedition,16 Days,Rs. 120000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Audens-col-trek
Beas Kund Trek,3 Days,Rs. 5900 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Beas-kund-trek
Bhrigu Lake Trek,3 Days,Rs. 5990 ,Easy,https://www.bikatadventures.com//Home/Itinerary/bhrigu-lake-trek
Borasu Pass Trek,9 Days,Rs. 29200 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/borasu-pass-trek
Buran Ghati Trek,8 Days,Rs. 14900 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/buran-ghati-trek
Chandrakhani Pass Trek,4 Days,Rs. 7800 ,Easy,https://www.bikatadventures.com//Home/Itinerary/Chandrakhani-Pass-Trek
Deo Tibba Base Camp Trek,6 Days,Rs. 14500 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/deo-tibba-base-camp-trek
Dharansi Pass Trek,8 Days,Rs. 19950 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/dharansi-pass-trek
Digar La with Nubra and Pangong Tso,8 Days,Rs. 35000 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Digar-La-Nubra-Pangong
Friendship Peak Expedition,8 Days,Rs. 34400 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/friendship-peak-expedition
Hampta Pass Trek,5 Days,Rs. 10500 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/Hampta-Pass-Chandratal-Lake-Trek
Hamta Circle Trek,4 Days,Rs. 8900 ,Easy,https://www.bikatadventures.com//Home/Itinerary/hamta-circle-trek
Kanamo Peak Trek,9 Days,Rs. 13950 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/kanamo-peak-trek
Kang Yatse II Trek,12 Days,Rs. 55000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Kang-Yatse-II-Trek
Kedartal Trek,7 Days,Rs. 15800 ,Moderate,https://www.bikatadventures.com//Home/Itinerary/kedar-taal-trek
Leh Tso Moriri Cycling Expedition,9 Days,Rs. 19300 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Leh-Tso-Moriri-Cycling-Expedition
Manali Chandratal Cycle Expedition,6 Days,Rs. 19300 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Manali-chandratal-cycling-expedition
Manali Khardung La Cycle Expedition,12 Days,Rs. 35200 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/Manali-Leh-Cycle-Expedition
Markha Valley Trek,10 Days,Rs. 24800 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/markha-valley-trek
Mayali Pass Trek,11 Days,Rs. 60000 ,Difficult,https://www.bikatadventures.com//Home/Itinerary/mayali-pass-trek
